[0.000000] (-) TimerEvent: {}
[0.001882] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.001925] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.001939] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.001950] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.001959] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.001968] (-) JobUnselected: {'identifier': 'hospital_package'}
[0.001978] (-) JobUnselected: {'identifier': 'map_msgs'}
[0.001987] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.001996] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.002005] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.002013] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.002022] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.002032] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.002041] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.002049] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.002058] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.002067] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.002076] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.002084] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.002094] (-) JobUnselected: {'identifier': 'nav2_graceful_controller'}
[0.002103] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.002112] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.002121] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.002130] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.002139] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.002148] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.002157] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.002166] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.002175] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.002183] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.002192] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.002201] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.002209] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.002218] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.002227] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.002236] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.002245] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.002254] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.002262] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.002271] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.002280] (-) JobUnselected: {'identifier': 'navigation2'}
[0.002570] (-) EventReactorShutdown: {}
